date,open,high,low,close,adj_close,volume,pct_chg,volume_chg,ma5,ma20,volatility_20d,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_pct
2025-01-02,52700,53600,52300,53400,52164.56,16630538,0.003759,0.317301,53660.0,54025.0,0.015343,44.0794,-635.8709,-658.505,22.6341,55878.45,52171.55,0.3314
2025-01-03,52800,55100,52800,54400,53141.43,19318046,0.018727,0.161601,53660.0,54065.0,0.015905,49.3277,-544.6416,-635.7323,91.0907,55914.35,52215.65,0.5906
2025-01-06,54400,56200,54300,55900,54606.72,19034284,0.027574,-0.014689,54120.0,54205.0,0.016761,55.9986,-347.3077,-578.0474,230.7397,56167.25,52242.75,0.9319
2025-01-07,56800,57300,55400,55400,54118.29,17030235,-0.008945,-0.105286,54460.0,54290.0,0.01682,53.4716,-228.6273,-508.1634,279.5361,56306.67,52273.33,0.7752
2025-01-08,54800,57500,54700,57300,55974.34,26593553,0.034296,0.561549,55280.0,54450.0,0.018268,60.7246,18.5207,-402.8266,421.3473,56870.53,52029.47,1.0887
2025-01-09,57600,57700,56100,56100,54802.09,24490592,-0.020942,-0.079078,55820.0,54585.0,0.018726,54.9034,116.2219,-299.0169,415.2388,57059.52,52110.48,0.8061
2025-01-10,56100,56500,55200,55300,54020.6,16059223,-0.01426,-0.34427,56000.0,54650.0,0.01897,51.3681,127.629,-213.6877,341.3167,57128.11,52171.89,0.6311
2025-01-13,54600,55000,54100,54100,52848.37,16868600,-0.0217,0.0504,55640.0,54655.0,0.019664,46.5283,39.3888,-163.0724,202.4612,57127.99,52182.01,0.3878
2025-01-14,54200,54600,53700,53900,52652.99,17465926,-0.003697,0.035411,55340.0,54555.0,0.017916,45.7546,-46.1479,-139.6875,93.5396,56977.24,52132.76,0.3648
2025-01-15,54100,54700,53500,53700,52457.62,18625025,-0.003711,0.066363,54620.0,54435.0,0.017875,44.9496,-128.5917,-137.4683,8.8766,56771.24,52098.76,0.3427
2025-01-16,54200,55000,54100,54300,53043.74,18627298,0.011173,0.000122,54260.0,54370.0,0.018037,47.9104,-143.8573,-138.7461,-5.1112,56641.19,52098.81,0.4846
2025-01-17,53800,54100,53200,53700,52457.62,18805344,-0.01105,0.009558,53940.0,54345.0,0.017287,45.2873,-202.0399,-151.4049,-50.635,56635.0,52055.0,0.3592
2025-01-20,53600,53900,53300,53400,52164.56,11822531,-0.005587,-0.371321,53800.0,54270.0,0.017031,43.9904,-269.2531,-174.9745,-94.2786,56581.62,51958.38,0.3118
2025-01-21,53700,54300,53300,53500,52262.24,13535702,0.001873,0.144907,53720.0,54290.0,0.015284,44.5604,-310.8676,-202.1531,-108.7145,56565.64,52014.36,0.3264
2025-01-22,53400,54400,53100,54300,53043.74,18341991,0.014953,0.355082,53840.0,54355.0,0.015608,49.0287,-276.1127,-216.9451,-59.1676,56548.27,52161.73,0.4875
2025-01-23,53700,54100,53500,53700,52457.62,15588067,-0.01105,-0.150143,53720.0,54365.0,0.015716,46.0321,-293.5987,-232.2758,-61.3229,56543.63,52186.37,0.3474
2025-01-24,53600,53800,53200,53700,52457.62,11867631,0.0,-0.238672,53720.0,54330.0,0.015229,46.0321,-303.9526,-246.6111,-57.3415,56528.66,52131.34,0.3567
2025-01-31,52200,53000,51700,52400,51187.7,42186279,-0.024209,2.554735,53520.0,54270.0,0.015846,39.9036,-412.3027,-279.7495,-132.5532,56613.28,51926.72,0.101
2025-02-03,51100,51400,50800,51000,49820.08,32344897,-0.026718,-0.233284,53020.0,54135.0,0.016848,34.5663,-604.1728,-344.6341,-259.5387,56891.26,51378.74,-0.0687
2025-02-04,51600,53600,51500,52700,51480.76,27214851,0.033333,-0.158604,52700.0,54110.0,0.018509,44.3074,-612.0027,-398.1078,-213.8949,56910.68,51309.32,0.2483
2025-02-05,53600,53800,52800,52900,51676.12,15974885,0.003795,-0.413009,52540.0,54085.0,0.01851,45.3384,-595.2086,-437.528,-157.6806,56921.06,51248.94,0.2911
2025-02-06,53400,54000,53200,54000,52750.68,16466025,0.020794,0.030745,52600.0,54065.0,0.018625,50.7397,-487.5197,-447.5263,-39.9934,56897.35,51232.65,0.4885
2025-02-07,53900,54200,53600,53700,52457.62,14476866,-0.005556,-0.120804,52860.0,53955.0,0.017478,49.3087,-421.5237,-442.3258,20.8021,56655.08,51254.92,0.4528
2025-02-10,53000,55900,52900,55600,54313.66,27577591,0.035382,0.904942,53780.0,53965.0,0.019211,57.4867,-213.4484,-396.5503,183.1019,56688.99,51241.01,0.8001
2025-02-11,55500,56300,55000,55700,54411.35,24596196,0.001799,-0.108109,54380.0,53885.0,0.01753,57.8719,-40.0169,-325.2436,285.2267,56269.4,51500.6,0.8806
2025-02-12,55100,55900,54500,55800,54509.04,26428596,0.001795,0.074499,54960.0,53870.0,0.01691,58.2791,104.2956,-239.3358,343.6314,56198.86,51541.14,0.9144
2025-02-13,56100,56400,55600,55800,54509.04,22448377,0.0,-0.150603,55320.0,53895.0,0.016581,58.2791,216.1724,-148.2342,364.4066,56298.05,51491.95,0.8964
2025-02-14,56000,57300,56000,56000,54704.41,23979779,0.003584,0.068219,55780.0,53990.0,0.015728,59.1938,317.3159,-55.1241,372.44,56570.82,51409.18,0.8894
2025-02-17,56100,56500,55700,56000,54704.41,11916027,0.0,-0.50308,55860.0,54095.0,0.015682,59.1938,392.9433,34.4893,358.454,56826.86,51363.14,0.8487
2025-02-18,56200,57200,55900,56900,55583.59,22131007,0.016071,0.857247,56100.0,54255.0,0.015925,63.3835,519.5118,131.4938,388.018,57251.47,51258.53,0.9414
2025-02-19,57400,58900,57300,58700,57341.94,25395151,0.031634,0.147492,56680.0,54475.0,0.017059,70.0147,756.3436,256.4638,499.8798,58071.42,50878.58,1.0874
2025-02-20,59100,59100,58100,58400,57048.88,21589059,-0.005111,-0.149875,57200.0,54710.0,0.016833,67.8105,909.3448,387.04,522.3048,58687.25,50732.75,0.9639
2025-02-21,58400,58500,57100,58200,56853.5,22198428,-0.003425,0.028226,57640.0,54950.0,0.016773,66.3117,1002.9003,510.2121,492.6882,59166.51,50733.49,0.8854
2025-02-24,57300,57700,57200,57300,55974.34,14138471,-0.015464,-0.363087,57900.0,55140.0,0.01735,59.8962,992.9752,606.7647,386.2105,59423.33,50856.67,0.7521
2025-02-25,56600,57800,56500,57200,55876.64,14625181,-0.001745,0.034425,57960.0,55285.0,0.017172,59.2107,965.906,678.5929,287.3131,59644.27,50925.73,0.7196
2025-02-26,57000,57100,56100,56600,55290.52,18117091,-0.01049,0.23876,57540.0,55430.0,0.017148,55.1337,885.8274,720.0398,165.7876,59760.11,51099.89,0.6351
2025-02-27,56500,57100,56200,56300,54997.46,14975356,-0.0053,-0.173413,57120.0,55560.0,0.017232,53.1626,789.0613,733.8441,55.2172,59827.08,51292.92,0.5867
2025-02-28,55400,55700,54500,54500,53239.11,28036698,-0.031972,0.872189,56380.0,55665.0,0.017965,43.1864,560.6661,699.2085,-138.5424,59701.82,51628.18,0.3557
2025-03-04,53900,55000,53800,54500,53239.11,18553933,0.0,-0.338227,55820.0,55840.0,0.016631,43.1864,375.3346,634.4337,-259.0991,59285.45,52394.55,0.3055
2025-03-05,55100,55400,54000,54000,52750.68,16578817,-0.009174,-0.106453,55180.0,55905.0,0.015314,40.7244,185.9687,544.7407,-358.772,59143.89,52666.11,0.2059
2025-03-06,54100,54500,54000,54300,53043.74,12258101,0.005556,-0.260617,54720.0,55975.0,0.015334,42.8303,59.4173,447.676,-388.2587,58993.45,52956.55,0.2225
2025-03-07,53500,54200,53400,53700,52457.62,14274992,-0.01105,0.164535,54200.0,55960.0,0.014868,39.7859,-88.2729,340.4863,-428.7592,59022.44,52897.56,0.131
2025-03-10,53500,54800,53500,53700,52457.62,12921670,0.0,-0.094804,54040.0,55960.0,0.014816,39.7859,-202.9786,231.7933,-434.7719,59022.44,52897.56,0.131
2025-03-11,52500,54100,52500,53600,52359.93,17740891,-0.001862,0.372957,53860.0,55860.0,0.01235,39.2466,-298.5117,125.7323,-424.244,59097.54,52622.46,0.151
2025-03-12,53800,55300,53600,54900,53629.85,17973221,0.024254,0.013096,54040.0,55820.0,0.013622,48.9359,-266.2544,47.335,-313.5894,59085.51,52554.49,0.3591
2025-03-13,55800,55900,54200,54700,53434.48,24132151,-0.003643,0.342673,54120.0,55765.0,0.013624,47.6761,-253.9016,-12.9124,-240.9892,59068.76,52461.24,0.3388
2025-03-14,54500,55100,54400,54700,53434.48,10845154,0.0,-0.550593,54320.0,55710.0,0.013624,47.6761,-241.3301,-58.5959,-182.7342,59047.76,52372.24,0.3487
2025-03-17,55500,57800,55400,57600,56267.39,35559021,0.053016,2.278794,55100.0,55790.0,0.01801,63.4843,2.6082,-46.3551,48.9633,59232.09,52347.91,0.7629
2025-03-18,58800,59000,57300,57600,56267.39,28138594,0.0,-0.208679,55900.0,55870.0,0.01801,63.4843,193.6983,1.6556,192.0427,59405.74,52334.26,0.7446
2025-03-19,57400,59200,57400,58500,57146.57,29421759,0.015625,0.045602,56620.0,55950.0,0.017991,67.0656,413.0,83.9245,329.0755,59652.35,52247.65,0.8444
2025-03-20,59200,60300,58500,60200,58807.23,34989004,0.02906,0.189222,57720.0,56025.0,0.017781,72.5434,715.7235,210.2843,505.4392,60011.75,52038.25,1.0236
2025-03-21,60900,61700,60400,61700,60272.54,40155612,0.024917,0.147664,59120.0,56190.0,0.01845,76.2905,1064.4015,381.1077,683.2938,60813.01,51566.99,1.0959
2025-03-24,61200,61600,60500,60500,59100.3,14088094,-0.019449,-0.649163,59700.0,56305.0,0.019081,68.2641,1229.726,550.8314,678.8946,61242.28,51367.72,0.9248
2025-03-25,60900,61100,59500,59800,58416.49,17259455,-0.01157,0.225109,60140.0,56430.0,0.01891,64.0321,1289.3993,698.545,590.8543,61594.7,51265.3,0.8263
2025-03-26,59800,61400,59700,61400,59979.47,16431645,0.026756,-0.047963,60720.0,56640.0,0.019639,68.7942,1449.0931,848.6546,600.4385,62258.17,51021.83,0.9236
2025-03-27,60900,62000,60800,61800,60370.22,20389790,0.006515,0.240885,61040.0,56900.0,0.019363,69.8683,1589.6043,996.8445,592.7598,62973.24,50826.76,0.9034
2025-03-28,60700,61100,60000,60200,59156.62,16282514,-0.02589,-0.201438,60740.0,57095.0,0.02045,60.8467,1553.941,1108.2638,445.6772,63335.27,50854.73,0.7488
2025-03-31,59500,59700,57800,57800,56798.22,17633494,-0.039867,0.082971,60200.0,57260.0,0.021271,50.3456,1316.8381,1149.9787,166.8594,63384.81,51135.19,0.5441
2025-04-01,58700,59600,57900,58800,57780.89,13841706,0.017301,-0.215033,60000.0,57475.0,0.021491,53.9145,1195.8391,1159.1508,36.6883,63492.82,51457.18,0.6101
2025-04-02,58800,59400,58300,58800,57780.89,14402297,0.0,0.0405,59480.0,57715.0,0.021295,53.9145,1087.4114,1144.8029,-57.3915,63528.7,51901.3,0.5933
2025-04-03,56900,57800,56900,57600,56601.69,19508076,-0.020408,0.354511,58640.0,57880.0,0.022004,49.0118,894.3424,1094.7108,-200.3684,63468.56,52291.44,0.4749
2025-04-04,56200,58200,55700,56100,55127.68,23527139,-0.026042,0.20602,57820.0,58000.0,0.022769,43.6666,613.2276,998.4142,-385.1866,63306.6,52693.4,0.321
2025-04-07,53300,54100,53100,53200,52277.95,31998883,-0.051693,0.360084,56900.0,57975.0,0.025913,35.586,154.6536,829.662,-675.0084,63370.86,52579.14,0.0575
2025-04-08,55000,55300,53300,53500,52572.75,25532845,0.005639,-0.202071,55840.0,57970.0,0.025946,36.8872,-182.4588,627.2379,-809.6967,63383.08,52556.92,0.0871
2025-04-09,53300,54300,52900,53000,52081.42,20576960,-0.009346,-0.194098,54680.0,57875.0,0.025384,35.5966,-484.3849,404.9133,-889.2982,63574.08,52175.92,0.0723
2025-04-10,56600,56700,55000,56400,55422.48,22948172,0.064151,0.115236,54440.0,57960.0,0.029119,48.732,-444.1917,235.0923,-679.284,63508.41,52411.59,0.3594
2025-04-11,55600,55700,54800,55200,54243.29,13930480,-0.021277,-0.392959,54260.0,57985.0,0.029572,45.226,-503.3657,87.4007,-590.7664,63475.77,52494.23,0.2464
2025-04-14,56300,56700,55800,56200,55225.95,12852613,0.018116,-0.077375,54860.0,57915.0,0.02738,48.548,-464.2187,-22.9232,-441.2955,63461.84,52368.16,0.3454
2025-04-15,56300,57100,56200,56600,55619.02,8998640,0.007117,-0.299859,55480.0,57865.0,0.027443,49.858,-396.349,-97.6083,-298.7407,63441.75,52288.25,0.3866
2025-04-16,56000,56200,54500,54700,53751.95,14437025,-0.033569,0.604356,55820.0,57675.0,0.02812,44.1127,-490.2247,-176.1316,-314.0931,63417.13,51932.87,0.2409
2025-04-17,54700,55300,54500,55100,54145.02,10867069,0.007313,-0.247278,55560.0,57420.0,0.027232,45.5356,-526.2787,-246.161,-280.1177,63142.94,51697.06,0.2973
2025-04-18,55300,55600,54900,55300,54341.55,5848342,0.00363,-0.461829,55580.0,57100.0,0.026448,46.2722,-532.5742,-303.4437,-229.1305,62523.15,51676.85,0.334
2025-04-21,55200,56000,55100,55400,54439.82,5941847,0.001808,0.015988,55420.0,56845.0,0.026277,46.6607,-523.4602,-347.447,-176.0132,62071.04,51618.96,0.3618
2025-04-22,54900,55500,54700,55000,54046.75,9532469,-0.00722,0.604294,55100.0,56605.0,0.026232,45.2514,-542.263,-386.4102,-155.8528,61698.85,51511.15,0.3425
2025-04-23,56000,56100,55500,55700,54734.62,11148692,0.012727,0.169549,55300.0,56320.0,0.025559,48.1998,-494.9745,-408.123,-86.8515,60895.73,51744.27,0.4323
2025-04-24,55600,55800,55200,55700,54734.62,10580377,0.0,-0.050976,55420.0,56015.0,0.025448,48.1998,-452.2844,-416.9553,-35.3291,59797.1,52232.9,0.4584
2025-04-25,56400,56400,55600,55700,54734.62,12183303,0.0,0.1515,55500.0,55790.0,0.024979,48.1998,-413.6834,-416.3009,2.6175,59018.75,52561.25,0.4861
2025-04-28,55800,55900,55500,55800,54832.89,9341518,0.001795,-0.233252,55580.0,55690.0,0.023444,48.6929,-370.749,-407.1905,36.4415,58777.43,52602.57,0.5178
2025-04-29,55700,56500,55600,55800,54832.89,10295518,0.0,0.102125,55740.0,55540.0,0.023026,48.6929,-332.8859,-392.3296,59.4437,58260.99,52819.01,0.5478
2025-04-30,55900,56000,55300,55500,54538.09,13014189,-0.005376,0.264064,55700.0,55375.0,0.023025,47.1321,-323.359,-378.5355,55.1765,57622.69,53127.31,0.5278
2025-05-02,55000,55500,54200,54300,53358.88,22454204,-0.021622,0.725363,55420.0,55210.0,0.023077,41.414,-407.9365,-384.4157,-23.5208,57244.34,53175.66,0.2763
2025-05-07,54500,55000,54300,54600,53653.68,17136991,0.005525,-0.236803,55200.0,55135.0,0.022466,43.2671,-445.6204,-396.6566,-48.9638,57141.59,53128.41,0.3667
2025-05-08,55100,55500,54500,54600,53653.68,16320532,0.0,-0.047643,54960.0,55205.0,0.018884,43.2671,-470.0665,-411.3386,-58.7279,57015.47,53394.53,0.3329
2025-05-09,54700,55000,54400,54800,53850.22,7814322,0.003663,-0.521197,54760.0,55270.0,0.018865,44.6214,-467.9082,-422.6525,-45.2557,56907.84,53632.16,0.3565
2025-05-12,55200,57600,55000,57600,56601.69,15414702,0.051095,0.972622,55180.0,55500.0,0.02157,59.278,-237.5231,-385.6266,148.1035,57086.79,53913.21,1.1617
2025-05-13,57700,58200,56800,56900,55913.82,16842801,-0.012153,0.092645,55700.0,55525.0,0.016961,55.3351,-110.1556,-330.5324,220.3768,57185.53,53864.47,0.914
2025-05-14,57500,57900,57000,57400,56405.15,12468089,0.008787,-0.259738,56260.0,55635.0,0.016234,57.5091,30.7751,-258.2709,289.046,57485.49,53784.51,0.9769
2025-05-15,57400,58600,57100,57300,56306.89,13139736,-0.001742,0.053869,56800.0,55690.0,0.015804,56.9125,132.863,-180.0441,312.9071,57671.92,53708.08,0.9062
2025-05-16,57400,57500,56700,56800,55815.55,10385352,-0.008726,-0.209622,57200.0,55700.0,0.015878,53.9012,171.4463,-109.7461,281.1924,57703.16,53696.84,0.7746
2025-05-19,56400,56400,55500,55800,54832.89,9802105,-0.017606,-0.056161,56840.0,55755.0,0.014365,48.387,119.9494,-63.807,183.7564,57702.17,53807.83,0.5116
2025-05-20,56200,56700,55700,55900,54931.16,9080577,0.001792,-0.073609,56640.0,55795.0,0.01429,48.9495,86.2132,-33.8029,120.0161,57718.24,53871.76,0.5273
2025-05-21,56200,56600,55700,55700,54734.62,7794181,-0.003578,-0.141665,56300.0,55815.0,0.014304,47.8269,42.8447,-18.4734,61.3181,57724.84,53905.16,0.4699
2025-05-22,55300,55500,54500,54700,53751.95,15254278,-0.017953,0.957137,55780.0,55780.0,0.01488,42.5703,-71.3937,-29.0575,-42.3362,57746.67,53813.33,0.2254
2025-05-23,55000,55200,54100,54200,53260.62,11247115,-0.009141,-0.262691,55260.0,55740.0,0.014932,40.1916,-199.9692,-63.2398,-136.7294,57803.62,53676.38,0.1269
2025-05-26,53900,55000,53700,54700,53751.95,10901337,0.009225,-0.030744,55040.0,55690.0,0.014788,43.5863,-258.5401,-102.2999,-156.2402,57805.51,53574.49,0.266
2025-05-27,54200,54500,53800,53900,52965.82,13439520,-0.014625,0.232832,54640.0,55600.0,0.015104,39.7033,-365.3004,-154.9,-210.4004,57861.81,53338.19,0.1242
2025-05-28,54300,56100,54200,55900,54931.16,17516283,0.037106,0.303341,54680.0,55610.0,0.017344,51.3677,-285.2373,-180.9674,-104.2699,57875.44,53344.56,0.564
2025-05-29,56200,56400,55600,56100,55127.68,12936810,0.003578,-0.261441,54960.0,55625.0,0.017357,52.3602,-203.3048,-185.4349,-17.8699,57899.69,53350.31,0.6044
2025-05-30,56200,57200,55800,56200,55225.95,26219683,0.001783,1.02675,55360.0,55645.0,0.01736,52.878,-128.8187,-174.1117,45.293,57933.16,53356.84,0.6213
2025-06-02,56300,57300,56200,56800,55815.55,12870515,0.010676,-0.509128,55780.0,55710.0,0.01745,55.9703,-21.1293,-143.5152,122.3859,58054.0,53366.0,0.7325
2025-06-04,57200,57900,56800,57800,56798.22,19649983,0.017606,0.526744,56560.0,55885.0,0.016927,60.6099,143.2556,-86.161,229.4166,58307.07,53462.93,0.8953
2025-06-05,58100,59900,57900,59100,58075.69,23266027,0.022491,0.184023,57200.0,56110.0,0.017456,65.6739,374.1183,5.8948,368.2235,58845.27,53374.73,1.0466
2025-06-09,60400,60400,59500,59800,58763.56,19609659,0.011844,-0.157155,57940.0,56370.0,0.017514,68.0553,606.5707,126.03,480.5407,59465.74,53274.26,1.054
2025-06-10,60000,60100,58800,59200,58173.95,15305760,-0.010033,-0.219479,58540.0,56590.0,0.017818,63.9594,733.9158,247.6072,486.3086,59837.61,53342.39,0.9018
2025-06-11,59500,60100,59400,59900,58861.82,13610734,0.011824,-0.110744,59160.0,56705.0,0.014343,66.4931,881.1643,374.3186,506.8457,60252.26,53157.74,0.9503
2025-06-12,59700,60000,59300,59500,58468.76,17755115,-0.006678,0.304494,59500.0,56835.0,0.014107,63.7357,954.5793,490.3707,464.2086,60596.45,53073.55,0.8543
2025-06-13,60200,60200,57700,58300,57289.55,20705979,-0.020168,0.166198,59340.0,56880.0,0.014881,56.2055,905.4934,573.3953,332.0981,60691.12,53068.88,0.6863
2025-06-16,58000,58100,56900,57200,56208.62,22200872,-0.018868,0.072196,58820.0,56875.0,0.015524,50.3348,768.9674,612.5097,156.4577,60684.06,53065.94,0.5427
2025-06-17,57800,59800,57400,58100,57093.02,28637003,0.015734,0.289904,58600.0,56940.0,0.015762,54.5204,725.0343,635.0146,90.0197,60787.84,53092.16,0.6507
2025-06-18,58000,59800,57900,59800,58763.56,17620705,0.02926,-0.384688,58580.0,57140.0,0.016259,61.1762,817.9638,671.6045,146.3593,61150.72,53129.28,0.8316
2025-06-19,60500,60600,59000,59200,58173.95,16876278,-0.010033,-0.042247,58520.0,57305.0,0.016537,57.9526,833.5871,704.001,129.5861,61372.06,53237.94,0.733
2025-06-20,59400,59800,59100,59500,58468.76,18072251,0.005068,0.070867,58760.0,57495.0,0.016473,59.1127,860.2596,735.2527,125.0069,61601.21,53388.79,0.7441
2025-06-23,58400,58500,57600,58000,56994.76,16551694,-0.02521,-0.084138,58920.0,57660.0,0.017053,51.4666,751.6952,738.5412,13.154,61552.99,53767.01,0.5437
2025-06-24,59400,60600,59300,60500,59451.43,23737899,0.043103,0.434167,59400.0,57975.0,0.018903,60.6112,857.5015,762.3333,95.1682,61705.32,54244.68,0.8384
2025-06-25,61500,61600,60300,61300,60237.56,23933612,0.013223,0.008245,59700.0,58305.0,0.018964,63.0129,994.4438,808.7554,185.6884,61982.8,54627.2,0.9072
2025-06-26,61300,61300,59900,60200,59156.62,19402300,-0.017945,-0.189328,59900.0,58620.0,0.019169,57.7948,1002.6527,847.5348,155.1179,61747.2,55492.8,0.7526
